"RecordID","ProgramStudi","Gender","DeviceUtama","ModaBelajar","Kepuasan","IntensitasBelajar","DurasiBelajarJam","PaketID"
992898,"Sains Aktuaria","P","Laptop","Video","Cukup","Tinggi",9.4,"ADK1-070181B1"
593424,"Sains Aktuaria","P","Laptop","Buku","Tidak Puas","Rendah",2.1,"ADK1-070181B1"
391508,"Sains Data","L","Laptop","Diskusi","Tidak Puas","Sedang",8.1,"ADK1-070181B1"
427026,"Sains Data","L","Tablet","Buku","Sangat Puas","Tinggi",10.8,"ADK1-070181B1"
138534,"Sains Aktuaria","P","Smartphone","Buku","Cukup","Sedang",4.8,"ADK1-070181B1"
762119,"Sistem Informasi","P","Laptop","Diskusi","Cukup","Sedang",9.5,"ADK1-070181B1"
598783,"Sistem Informasi","L","Laptop","Video","Sangat Puas","Tinggi",12,"ADK1-070181B1"
577810,"Matematika","L","Laptop","Diskusi","Sangat Puas","Sedang",6,"ADK1-070181B1"
977112,"Sains Data","L","Tablet","Buku","Tidak Puas","Sedang",7.1,"ADK1-070181B1"
276345,"Matematika","L","Laptop","Diskusi","Tidak Puas","Rendah",6.5,"ADK1-070181B1"
136377,"Sains Aktuaria","L","Tablet","Video","Tidak Puas","Rendah",4.2,"ADK1-070181B1"
423921,"Sistem Informasi","P","Laptop","Praktik","Puas","Tinggi",8.5,"ADK1-070181B1"
636194,"Sains Data","P","Smartphone","Diskusi","Cukup","Rendah",5.6,"ADK1-070181B1"
885434,"Sains Data","P","Smartphone","Buku","Puas","Sedang",7.1,"ADK1-070181B1"
942786,"Sains Data","P","Laptop","Diskusi","Sangat Puas","Sedang",6.2,"ADK1-070181B1"
929219,"Sains Data","L","Smartphone","Praktik","Cukup","Rendah",3.5,"ADK1-070181B1"
765019,"Sains Aktuaria","L","Laptop","Buku","Puas","Rendah",4.9,"ADK1-070181B1"
734827,"Sistem Informasi","L","Tablet","Diskusi","Cukup","Sedang",10.6,"ADK1-070181B1"
302624,"Matematika","L","Tablet","Diskusi","Puas","Sedang",8.1,"ADK1-070181B1"
817415,"Sistem Informasi","P","Laptop","Buku","Tidak Puas","Rendah",3.7,"ADK1-070181B1"
473151,"Sains Data","P","Tablet","Buku","Puas","Sedang",5.9,"ADK1-070181B1"
819670,"Sains Aktuaria","L","Laptop","Buku","Sangat Puas","Tinggi",13.4,"ADK1-070181B1"
627076,"Sains Aktuaria","P","Smartphone","Buku","Sangat Puas","Rendah",5.5,"ADK1-070181B1"
212043,"Sistem Informasi","P","Laptop","Diskusi","Puas","Sedang",6.2,"ADK1-070181B1"
131171,"Sains Aktuaria","L","Smartphone","Praktik","Puas","Tinggi",7.6,"ADK1-070181B1"
711812,"Sains Data","L","Laptop","Buku","Cukup","Rendah",3.4,"ADK1-070181B1"
102222,"Sains Aktuaria","L","Laptop","Diskusi","Cukup","Tinggi",9.4,"ADK1-070181B1"
